year,sockeye,coho,pink,chum,area
1969,815050.00,101575.00,235866.00,331058.00,cook.inlet
1970,753526.00,280156.00,1388179.00,999325.00,cook.inlet
1971,658537.00,105197.00,428495.00,475631.00,cook.inlet
1972,937721.00,83167.00,657243.00,705691.00,cook.inlet
1973,699234.00,106521.00,633587.00,783086.00,cook.inlet
1974,524613.00,206639.00,534331.00,416050.00,cook.inlet
1975,712960.00,233583.00,1399791.00,973442.00,cook.inlet
1976,1722309.00,211926.00,1393189.00,520629.00,cook.inlet
1977,2154078.00,195847.00,1846337.00,1379511.00,cook.inlet
1978,2778071.00,225307.00,2041659.00,645477.00,cook.inlet
1979,988832.00,287778.00,3049154.00,873385.00,cook.inlet
1980,1643039.00,285923.00,2676133.00,463167.00,cook.inlet
1981,1549532.00,495187.00,3406347.00,1169635.00,cook.inlet
1982,3391184.00,840829.00,1342237.00,1632051.00,cook.inlet
1983,5237378.00,527697.00,997778.00,1307177.00,cook.inlet
1984,2377312.00,466842.00,1318097.00,776516.00,cook.inlet
1985,4315853.00,658572.00,1317455.00,799288.00,cook.inlet
1986,5026933.00,775438.00,2709251.00,1217505.00,cook.inlet
1987,9718105.00,462745.00,310820.00,508534.00,cook.inlet
1988,7164900.00,568609.00,1395768.00,1034806.00,cook.inlet
1989,5174397.00,350587.00,1364368.00,133356.00,cook.inlet
1990,3808605.00,509394.00,987300.00,358148.00,cook.inlet
1991,2480572.00,438577.00,741152.00,304430.00,cook.inlet
1992,9284997.00,474355.00,1175629.00,296506.00,cook.inlet
1993,4966031.00,311680.00,558225.00,127137.00,cook.inlet
1994,3681027.00,596858.00,2171363.00,308646.00,cook.inlet
1995,3217519.00,461879.00,2982042.00,545064.00,cook.inlet
1996,4339378.00,332673.00,695701.00,160284.00,cook.inlet
1997,4417168.00,161245.00,2885376.00,108944.00,cook.inlet
1998,1503546.00,174787.00,2009556.00,100351.00,cook.inlet
1999,3157297.00,132854.00,1156664.00,182495.00,cook.inlet
2000,1544811.00,238167.00,1533788.00,200323.00,cook.inlet
2001,2035779.00,116065.00,665491.00,173463.00,cook.inlet
2002,3062408.00,250487.00,2417021.00,281208.00,cook.inlet
2003,4118143.00,107421.00,904910.00,156453.00,cook.inlet
2004,5057167.00,317869.00,2875494.00,352844.00,cook.inlet
2005,5470075.00,227477.00,2354833.00,168342.00,cook.inlet
2006,2416291.00,206298.00,1875688.00,135987.00,cook.inlet
2007,3682733.00,180808.00,434431.00,79017.00,cook.inlet
2008,2787525.00,173210.00,675068.00,226045.00,cook.inlet
2009,2325324.00,154188.00,1203668.00,156785.00,cook.inlet
2010,2920941.00,208141.00,570917.00,323618.00,cook.inlet
2011,5670749.00,95443.00,396029.00,161098.00,cook.inlet
2012,3320419.00,106957.00,725865.00,325167.00,cook.inlet
2013,2852960.00,266534.00,2146960.00,193767.00,cook.inlet
2014,2615052.00,138210.00,914504.00,189642.00,cook.inlet
2015,2894837.00,220851.00,6436787.00,389429.00,cook.inlet
